Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen
153	1	1	34.0	38.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
154	1	1	36.0	40.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
155	1	1	38.0	42.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
156	1	1	40.0	44.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
157	1	1	42.0	46.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
158	1	1	44.0	48.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
159	1	1	46.0	50.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
160	1	1	48.0	52.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
161	1	1	50.0	54.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
162	1	1	52.0	56.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180502.wav
163	1	1	0.0	4.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
164	1	1	2.0	6.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
165	1	1	4.0	8.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
166	1	1	6.0	10.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
167	1	1	8.0	12.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
168	1	1	10.0	14.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
169	1	1	12.0	16.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
170	1	1	14.0	18.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
171	1	1	16.0	20.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
172	1	1	18.0	22.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
173	1	1	20.0	24.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
174	1	1	22.0	26.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
175	1	1	24.0	28.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
176	1	1	26.0	30.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
177	1	1	28.0	32.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
178	1	1	30.0	34.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
179	1	1	32.0	36.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
180	1	1	34.0	38.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
