Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen
309	1	1	38.0	42.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250425_014902.wav
310	1	1	0.0	4.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250412_045302.wav
311	1	1			0.0	8000.0		
312	1	1			0.0	8000.0		
313	1	1	38.0	42.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250415_211502.wav
314	1	1			0.0	8000.0		
315	1	1			0.0	8000.0		
316	1	1			0.0	8000.0		
317	1	1			0.0	8000.0		
318	1	1			0.0	8000.0		
319	1	1			0.0	8000.0		
320	1	1			0.0	8000.0		
321	1	1			0.0	8000.0		
322	1	1			0.0	8000.0		
323	1	1			0.0	8000.0		
324	1	1			0.0	8000.0		
325	1	1			0.0	8000.0		
326	1	1			0.0	8000.0		
327	1	1	14.0	18.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250416_001502.wav
328	1	1			0.0	8000.0		
329	1	1			0.0	8000.0		
330	1	1			0.0	8000.0		
331	1	1	26.0	30.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250425_213402.wav
332	1	1			0.0	8000.0		
333	1	1			0.0	8000.0		
334	1	1	28.0	32.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250412_051502.wav
335	1	1			0.0	8000.0		
336	1	1			0.0	8000.0		
337	1	1	12.0	16.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_234702.wav
338	1	1	38.0	42.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_195202.wav
339	1	1			0.0	8000.0		
340	1	1	52.0	56.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250425_013402.wav
341	1	1			0.0	8000.0		
342	1	1			0.0	8000.0		
343	1	1			0.0	8000.0		
344	1	1			0.0	8000.0		
345	1	1			0.0	8000.0		
346	1	1			0.0	8000.0		
347	1	1	12.0	16.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250411_190002.wav
348	1	1			0.0	8000.0		
349	1	1			0.0	8000.0		
350	1	1	12.0	16.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_053202.wav
351	1	1			0.0	8000.0		
352	1	1			0.0	8000.0		
353	1	1			0.0	8000.0		
354	1	1			0.0	8000.0		
355	1	1	24.0	28.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_034602.wav
356	1	1			0.0	8000.0		
357	1	1			0.0	8000.0		
358	1	1			0.0	8000.0		
359	1	1			0.0	8000.0		
360	1	1			0.0	8000.0		
361	1	1			0.0	8000.0		
362	1	1	42.0	46.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250502_190202.wav
363	1	1			0.0	8000.0		
364	1	1	24.0	28.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_231702.wav
365	1	1			0.0	8000.0		
366	1	1			0.0	8000.0		
367	1	1	50.0	54.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250415_215002.wav
368	1	1			0.0	8000.0		
369	1	1			0.0	8000.0		
370	1	1			0.0	8000.0		
371	1	1	6.0	10.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_013602.wav
372	1	1			0.0	8000.0		
373	1	1			0.0	8000.0		
374	1	1			0.0	8000.0		
375	1	1			0.0	8000.0		
376	1	1			0.0	8000.0		
377	1	1	40.0	44.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250416_040002.wav
378	1	1			0.0	8000.0		
379	1	1			0.0	8000.0		
380	1	1	16.0	20.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250415_200202.wav
381	1	1			0.0	8000.0		
382	1	1			0.0	8000.0		
383	1	1			0.0	8000.0		
384	1	1			0.0	8000.0		
385	1	1	46.0	50.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_023002.wav
386	1	1			0.0	8000.0		
387	1	1			0.0	8000.0		
388	1	1			0.0	8000.0		
389	1	1			0.0	8000.0		
390	1	1	34.0	38.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250413_204802.wav
391	1	1	10.0	14.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_214102.wav
392	1	1			0.0	8000.0		
393	1	1			0.0	8000.0		
394	1	1			0.0	8000.0		
395	1	1	0.0	4.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_001802.wav
396	1	1			0.0	8000.0		
